movie_id,title,overview,subject,keywords,cast,crew,recom
5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,Crime Comedy,hotel newyear'seve witch bet hotelroom sperm losangeles hoodlum womandirector episodefilm,TimRoth AntonioBanderas JenniferBeals,AllisonAnders AlexandreRockwell RobertRodriguez QuentinTarantino,"[5, 250902, 59108, 22617, 19899, 277216, 50357, 13518, 807, 187, 9452, 16448, 13950, 17654, 782, 920, 6282, 9045, 14271, 500, 652, 244776, 682, 11843, 5822, 11831, 24977, 250546, 43947, 10876, 70160, 84204, 9353, 686, 8265, 8883, 165, 8914, 65, 694, 533, 8810, 24664, 47941, 11543, 1091, 34723, 107315, 40862, 12400]"
11,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,Adventure Action ScienceFiction,android galaxy hermit deathstar lightsaber jedi rescuemission empire rebellion planet smuggler theforce spaceopera galacticwar stormtrooper totalitarianism,MarkHamill HarrisonFord CarrieFisher,GeorgeLucas,"[11, 1891, 979, 707, 1895, 20455, 333355, 9072, 17708, 10040, 950, 46332, 312221, 563, 115, 15005, 642, 616, 12160, 9702, 136795, 594, 2453, 8386, 57165, 709, 454, 592, 11618, 9567, 192132, 26791, 11535, 8293, 14014, 40805, 8848, 2539, 9334, 10822, 70160, 20009, 254473, 6519, 10416, 7443, 11495, 9208, 11619, 10545]"
12,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",Animation Family,fathersonrelationship harbor underwater fishtank greatbarrierreef missingchild aftercreditsstinger duringcreditsstinger shorttermmemoryloss clownfish fathersonreunion protectivefather,AlbertBrooks EllenDeGeneres AlexanderGould,AndrewStanton,"[12, 113947, 11011, 7735, 10496, 2266, 16614, 10314, 75674, 63006, 15092, 2310, 35, 12289, 747, 11313, 1878, 756, 117, 1887, 24424, 112937, 26390, 84188, 13403, 12079, 15389, 31163, 21461, 40185, 12657, 37232, 26428, 328307, 821, 692, 9746, 43867, 296099, 43884, 152742, 68818, 9718, 7913, 49948, 1690, 540, 10643, 97630, 33196]"
13,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",Comedy Drama Romance,vietnamveteran hippie mentallydisabled running basedonnovel vietnam vietnamwar friendship love familyrelationships bully mothersonrelationship military hugging shrimping woundedsoldier flashback parkbench amputee,TomHanks RobinWright GarySinise,RobertZemeckis,"[13, 39513, 24621, 13950, 48035, 27936, 77332, 26428, 21641, 16642, 244267, 152747, 9388, 54580, 222649, 77, 14022, 11128, 9454, 821, 121676, 8358, 8435, 1808, 6007, 33196, 113947, 210577, 19997, 22327, 89857, 72914, 11129, 12838, 16112, 11353, 2755, 37232, 2266, 10992, 597, 362765, 26390, 38570, 82533, 2133, 321, 1909, 5723, 747]"
14,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Drama,malenudity femalenudity adultery midlifecrisis comingout firsttime camcorder virgin nudity filmmaker estateagent satire loneliness darkcomedy suburbia comingofage marijuana exercise parentchildrelationship bittersweet affair,KevinSpacey AnnetteBening ThoraBirch,SamMendes,"[14, 594, 105, 10074, 711, 6538, 58224, 72113, 11888, 9434, 14014, 4515, 9292, 840, 8966, 925, 36557, 18823, 192132, 10477, 62206, 10246, 14112, 90, 9416, 713, 10388, 15070, 11770, 1255, 9032, 41210, 592, 242, 10330, 9716, 9839, 72710, 9007, 15005, 9487, 9427, 1366, 27205, 13685, 61791, 1950, 7347, 11453, 136795]"
16,Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",Drama Crime Music,individual dancing usa robbery factoryworker secret factory smalltown dance blindnessandimpairedvision deathpenalty immigrant eyeoperation eyesight fantasy naivety self-abandonment hereditarydisease lossofeyesight czech dyinganddeath van friendship murder teacher debt execution crime policeofficer,Bju00f6rk CatherineDeneuve DavidMorse,LarsvonTrier,"[16, 11632, 101267, 8265, 606, 9619, 595, 152742, 4944, 14709, 18785, 48463, 62177, 84175, 9531, 100, 40862, 433, 10781, 6217, 27759, 25195, 698, 68726, 157544, 9718, 12403, 12429, 824, 13751, 11702, 10514, 135595, 201, 20455, 24748, 2133, 497, 77931, 39183, 196, 46332, 11973, 13279, 23168, 57612, 57165, 62677, 11249, 9824]"
18,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",Adventure Fantasy Action Thriller ScienceFiction,clone taxi cyborg egypt future stowaway spacetravel raceagainsttime armsdealer love alien priest endoftheworld goodvsevil shootout policechase cabdriver newyorkcity spaceopera military operasinger resorthotel ancientastronaut archeologist ancientevil cruiseliner,BruceWillis GaryOldman IanHolm,LucBesson,"[18, 8293, 333355, 1894, 27759, 9208, 10179, 41216, 201, 207769, 225235, 1688, 9920, 70436, 8848, 43947, 8810, 70160, 115, 18841, 8202, 8961, 10016, 5723, 13785, 6488, 277216, 38358, 319069, 89708, 84175, 176077, 13950, 5491, 45054, 9902, 435, 6968, 62402, 11935, 1808, 9804, 14120, 9824, 116977, 54580, 7347, 174362, 1891, 811]"
19,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",Drama ScienceFiction,manvsmachine undergroundworld inventor metropolis worker future machinetown work classsociety dystopia towerofbabel delirium chasescene madscientist prophet robot destruction silentfilm depravity masterpiece downtrodden saviour,BrigitteHelm AlfredAbel GustavFru00f6hlich,FritzLang,"[19, 35, 14811, 2395, 4553, 71688, 9459, 112937, 540, 26390, 84175, 50620, 43884, 8913, 27586, 2310, 16614, 26672, 244776, 473, 11583, 147767, 63006, 33196, 113947, 45649, 7913, 756, 2133, 8810, 6020, 43867, 40185, 2266, 321741, 597, 14120, 6968, 37232, 11313, 9353, 364083, 811, 26428, 13403, 704, 75674, 15927, 30596, 55616]"
20,My Life Without Me,A Pedro Almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness.,Drama Romance,farewell responsability dyinganddeath nightshift daughter secretlove motherdaughterrelationship womandirector,SarahPolley AmandaPlummer ScottSpeedman,IsabelCoixet,"[20, 160588, 338, 70160, 8617, 168705, 13751, 59457, 123553, 20360, 43959, 4970, 88036, 3082, 2056, 194, 652, 26428, 129139, 1591, 10115, 10327, 24985, 8435, 10934, 24961, 365052, 37707, 26665, 14405, 47327, 25195, 268171, 9916, 50848, 8545, 114150, 90369, 9504, 216015, 21311, 5550, 9813, 1957, 15568, 37735, 49022, 8265, 57825, 9372]"
22,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",Adventure Fantasy Action,exoticisland blacksmith eastindiatradingcompany gold marriageproposal mutiny jamaica skeleton daughter governor woodeneye goldcoin pirate alcoholic swashbuckler caribbean aftercreditsstinger pirateship capuchinmonkey tortuga,JohnnyDepp GeoffreyRush OrlandoBloom,GoreVerbinski,"[22, 43884, 46829, 59108, 11818, 857, 94329, 135595, 71157, 23759, 935, 11249, 39486, 16911, 62677, 864, 9449, 10353, 71688, 12289, 39183, 121, 9289, 159037, 355629, 1123, 2133, 824, 84204, 27586, 49517, 6639, 11973, 595, 7944, 10212, 34069, 13191, 391, 698, 294550, 10135, 84175, 7278, 13183, 188652, 10179, 7451, 8814, 48620]"
